Mode,Image,Run,Time
Parallel,bear.jpg,1,10.120677617
Parallel,bear.jpg,2,9.734690164
Parallel,bear.jpg,3,9.327741615
Parallel,bear.jpg,4,9.040660434
Parallel,pokemon.jpg,1,9.67325989
Parallel,pokemon.jpg,2,8.36743309
Parallel,pokemon.jpg,3,8.814025499
Parallel,pokemon.jpg,4,9.288960529
Parallel,mountain.jpg,1,263.192916787
Parallel,mountain.jpg,2,227.916653709
Parallel,mountain.jpg,3,228.620246186
Parallel,mountain.jpg,4,233.342082063
Parallel,shoe.jpg,1,122.470635493
Parallel,shoe.jpg,2,127.493148894
Parallel,shoe.jpg,3,118.376266941
Parallel,shoe.jpg,4,130.880247937
Parallel,car.jpg,1,16.457007767
Parallel,car.jpg,2,18.376252339
Parallel,car.jpg,3,19.27461017
Parallel,car.jpg,4,20.086395888
Parallel,tinfoil.jpg,1,16.622461894
Parallel,tinfoil.jpg,2,18.351701371
Parallel,tinfoil.jpg,3,18.757476751
Parallel,tinfoil.jpg,4,17.474602331
